ticker,strategy,tmstp_in,price_in,qty_in,rsi_in,cond2,tmstp_out,price_out,qty_out,rsi_out,pl
BTC-USD,cb1,2022-02-04 13:55:00+00:00,37478.67578125,100,22.54584809027864,316,2022-02-04 14:40:00+00:00,37836.625,1.0,55.49338230320284,0.9550743490491103
BTC-USD,cb1,2022-02-05 17:05:00+00:00,41160.4921875,100,24.76041833424864,122,2022-02-05 17:50:00+00:00,41569.42578125,1.0,57.70059542549637,0.9935099704035822
BTC-USD,cb1,2022-02-06 04:15:00+00:00,41348.26953125,100,24.36507833609359,243,2022-02-06 13:10:00+00:00,41737.48828125,1.0,70.03547754173232,0.9413181117672605
BTC-USD,cb1,2022-02-07 09:35:00+00:00,42353.7734375,100,19.759321864231936,229,2022-02-07 13:20:00+00:00,42823.0078125,1.0,68.90515330868655,1.107892725762518
BTC-USD,cb1,2022-02-08 09:10:00+00:00,43762.828125,100,20.56118736372224,62,2022-02-08 20:50:00+00:00,44178.01953125,1.0,83.90610583820686,0.9487307471630639
BTC-USD,cb1,2022-02-09 02:10:00+00:00,43577.46875,100,19.087444047016177,139,2022-02-09 12:35:00+00:00,43972.671875,1.0,75.64739850340729,0.9068978450016099
BTC-USD,cb1,2022-02-10 00:15:00+00:00,44166.5546875,100,24.557085744447832,36,2022-02-10 10:25:00+00:00,44642.16015625,1.0,84.34515375559336,1.0768453009639116
BTC-USD,cb1,2022-02-10 13:35:00+00:00,43979.9140625,100,24.047297211327418,58,2022-02-10 15:00:00+00:00,44545.5234375,1.0,64.88211136734672,1.2860629381772113
BTC-USD,cb1,2022-02-10 20:00:00+00:00,44336.1484375,100,24.881818150779154,86,2022-02-11 23:10:00+00:00,42125.52734375,1.0,32.16278642462109,-4.98604676242069
BTC-USD,cb1,2022-02-12 06:40:00+00:00,42008.4921875,100,16.81964852549568,137,2022-02-12 09:30:00+00:00,42399.5625,1.0,65.4319909311767,0.9309315620148976
BTC-USD,cb1,2022-02-12 21:25:00+00:00,42484.5546875,100,24.845619429041093,316,2022-02-15 01:35:00+00:00,43013.6484375,1.0,80.03548441605747,1.245379065149228
BTC-USD,cb1,2022-02-16 04:20:00+00:00,43801.04296875,100,21.67649122925448,66,2022-02-16 08:10:00+00:00,44211.33984375,1.0,70.57898955928022,0.9367285507167665
BTC-USD,cb1,2022-02-16 13:50:00+00:00,43671.29296875,100,23.08527755290092,97,2022-02-16 19:20:00+00:00,44155.11328125,1.0,88.41576349765607,1.1078680744492928
BTC-USD,cb1,2022-02-17 03:55:00+00:00,43708.21484375,100,20.998284757052687,28,2022-02-17 18:15:00+00:00,41281.8671875,1.0,20.597896994043097,-5.5512394293013605
BTC-USD,cb1,2022-02-17 21:10:00+00:00,40619.6484375,100,22.533370381202005,3,2022-02-20 08:25:00+00:00,38492.4140625,1.0,15.103521221579044,-5.236959099419828
BTC-USD,cb1,2022-02-20 09:30:00+00:00,38185.87890625,100,24.592102961368198,106,2022-02-20 12:20:00+00:00,38540.38671875,1.0,74.55048404835387,0.9283741075342294
BTC-USD,cb1,2022-02-20 21:35:00+00:00,38131.5,100,23.972630040913927,132,2022-02-20 22:50:00+00:00,38556.10546875,1.0,75.75661677587775,1.1135294146571733
BTC-USD,cb1,2022-02-21 10:20:00+00:00,38853.53515625,100,24.610637806954827,276,2022-02-22 03:05:00+00:00,36652.35546875,1.0,26.21223952682375,-5.665326664994388
BTC-USD,cb1,2022-02-23 02:35:00+00:00,37764.7890625,100,24.340412760921936,108,2022-02-23 05:05:00+00:00,38113.9140625,1.0,70.60115788523026,0.9244722628324623
BTC-USD,cb1,2022-02-23 15:10:00+00:00,38586.859375,100,24.534565005226938,7,2022-02-24 02:55:00+00:00,36420.9296875,1.0,20.895296979227126,-5.613127687979919
BTC-USD,cb1,2022-02-24 05:30:00+00:00,34705.26953125,100,23.535367127297306,409,2022-02-24 07:45:00+00:00,35302.90234375,1.0,66.49757945676689,1.7220232563296123
BTC-USD,cb1,2022-02-25 18:10:00+00:00,38710.11328125,100,24.964459929494836,102,2022-02-25 20:55:00+00:00,39107.34765625,1.0,67.1472643728585,1.026177247568036
BTC-USD,cb1,2022-02-26 05:45:00+00:00,39127.65625,100,23.145760226157662,41,2022-02-26 21:20:00+00:00,39549.55078125,1.0,77.59074072283835,1.078251476537136
BTC-USD,cb1,2022-02-27 01:05:00+00:00,38627.046875,100,24.031803326833156,51,2022-02-27 09:20:00+00:00,39021.07421875,1.0,68.7041314880591,1.0200814600844372
